tch_id,data_category,label_zh,label_en,definition_zh,definition_en,has_synonym_zh,has_synonym_en,parents,applied_to_pattern,applied_to_disease,realized_by_method,constrains_formula,xrefs,sources,date_accessed,notes
TmpTCH:PRINCIPLE_60000,principle,治则,Therapeutic Principle,"中医治则根类别,包含所有治则术语",Root category for all TCM therapeutic principle terms,,,,,,,,,,2025-11-12,ROOT category for Principle hierarchy
TmpTCH:PRINCIPLE_60001,principle,治则类术语,therapeutic principles terminology,泛指在中医理论指导下，将四诊所得进行分析、归纳，形成疾病诊断与辨证，据以制订出用以指导整个治疗方案的基本法则，是在对疾病治疗规律认知基础上所形成的最根本的治疗大法。,,,,TmpTCH:PRINCIPLE_60000,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2; Database: clinical_treatment
TmpTCH:PRINCIPLE_60002,principle,治未病法,therapy for preventive treatment of disease,泛指以强健身体，和畅情志，顺应自然变化，提高人体正气为目的，采取适宜的中医药防治技术，避免、阻止疾病发生或进一步发展的防治原则。 注： 包括未病先防、已病防变、瘥后防复等。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.1; Database: clinical_treatment
TmpTCH:PRINCIPLE_60007,principle,未病先防,prevention before disease onset,在尚未患病，或在发病之前，从增强人体正气和防止病邪侵害两方面入手来防治疾病的防治原则。,,,,TmpTCH:PRINCIPLE_60002,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.1.1; Database: clinical_treatment
TmpTCH:PRINCIPLE_60008,principle,已病防变,prevent progression after disease onset,泛指根据疾病发生、发展规律及其传变途径等，在其发作或加重之前，采取各种方法避免、阻止病情加重或传变的治疗原则。,,既病防变,,TmpTCH:PRINCIPLE_60002,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.1.2; Database: clinical_treatment
TmpTCH:PRINCIPLE_60009,principle,瘥后防复,prevent recurrence of disease,与缓则治本相对。在大出血或暴泻、剧痛、尿闭等标病、标症紧急的情况下，及时采用止血或止泻、止痛、利尿等救治标病、标症的方法，然后再治其本病的治疗原则。,,"在疾病基本康复，或疾病尚未发作的稳定期或间歇期，为防止余邪复作，或劳累、饮食不当等因素而导致疾病复发，采取各种方法扶助正气、强身健体，以促进康复的治疗原则。,2.2,急则治标  treating the tip in acute disease",,TmpTCH:PRINCIPLE_60002,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.1.3; Database: clinical_treatment
TmpTCH:PRINCIPLE_60010,principle,祛邪扶正,eliminating pathogenic factors and reinforcing healthy qi,对于邪气实而正气偏虚，或因实致虚等病证，采用消除病邪为主，辅之以扶正的方法，以促使邪去而正安或正复的治疗原则。,,祛邪安正,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.10; Database: clinical_treatment
TmpTCH:PRINCIPLE_60003,principle,攻补兼施,treating with both elimination and reinforcement,对虚实夹杂，或虚实程度相当的病证，采用扶正与祛邪并重，或相机先后或主次处理策略的治疗原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.11; Database: clinical_treatment
TmpTCH:PRINCIPLE_60011,principle,先攻后补,application of elimination prior to tonification,对虚实夹杂，体弱正虚而又有急待攻下或祛散病邪的病证，采用先攻邪、后培补的治疗策略。,,,,TmpTCH:PRINCIPLE_60003,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.11.1; Database: clinical_treatment
TmpTCH:PRINCIPLE_60012,principle,先补后攻,application of tonification prior to elimination,对虚实夹杂，邪实须攻，或攻下又有正虚体弱、不堪攻击的病证，采用先补虚、后攻邪的治疗策略。,,,,TmpTCH:PRINCIPLE_60003,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.11.2; Database: clinical_treatment
TmpTCH:PRINCIPLE_60013,principle,寓攻于补,reinforcement containing elimination,对虚实夹杂病证，权衡正邪关系，采用扶助正气为主，待正气来复以驱邪愈病，或采取补益方药中适当加入攻邪之品，使扶正而不留邪的治疗策略。,,补中寓攻,,TmpTCH:PRINCIPLE_60003,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.11.3; Database: clinical_treatment
TmpTCH:PRINCIPLE_60014,principle,寓补于攻,elimination containing reinforcement,对虚实夹杂病证，权衡正邪关系，采用攻逐邪气为主，使邪去而正安，或采取将少量补益之品夹于大队攻伐药之列，使邪去而不伤正的治疗策略。,,攻中寓补,,TmpTCH:PRINCIPLE_60003,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.11.4; Database: clinical_treatment
TmpTCH:PRINCIPLE_60004,principle,正治法,routine therapy,与反治法相对的治法。泛指针对疾病的本质，采用与疾病本质药性相反的方药或相关疗法进行施治的治疗原则。 注： 包括寒者热之、热者寒之、虚者补之、实者泻之。,,逆治法,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.12; Database: clinical_treatment
TmpTCH:PRINCIPLE_60015,principle,寒者热之,treating cold with heat,对于寒性病证，使用温热的方药或相关疗法进行治疗的方法。 注： 即温热以祛寒。,,,,TmpTCH:PRINCIPLE_60004,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.12.1; Database: clinical_treatment
TmpTCH:PRINCIPLE_60016,principle,热者寒之,treating heat with cold,对于热性病证，使用寒凉的方药或相关疗法进行治疗的方法。 注： 即寒凉以清热。,,,,TmpTCH:PRINCIPLE_60004,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.12.2; Database: clinical_treatment
TmpTCH:PRINCIPLE_60017,principle,虚则补之,treating deficiency with tonification,对于虚弱病证，使用补益的方药或相关疗法进行治疗的方法。,,,,TmpTCH:PRINCIPLE_60004,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.12.3; Database: clinical_treatment
TmpTCH:PRINCIPLE_60018,principle,实则泻之,treating excess with purgation,对于邪实病证，使用攻泻的方药或相关疗法进行治疗的方法。,,,,TmpTCH:PRINCIPLE_60004,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.12.4; Database: clinical_treatment
TmpTCH:PRINCIPLE_60005,principle,反治法,paradoxical treatment,与正治法相对的治法。泛指在疾病出现假象，或用正治法发生格拒现象时，采用顺从疾病表象的方药或相关疗法进行治疗的原则。 注： 包括寒因寒用、热因热用、塞因塞用、通因通用等。,,从治法,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.13; Database: clinical_treatment
TmpTCH:PRINCIPLE_60019,principle,寒因寒用,treating cold with cold,采用寒凉方药或相关疗法治疗真热假寒证的方法。,,,,TmpTCH:PRINCIPLE_60005,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.13.1; Database: clinical_treatment
TmpTCH:PRINCIPLE_60020,principle,热因热用,treating heat with heat,采用温热方药或相关疗法治疗真寒假热证的方法。,,,,TmpTCH:PRINCIPLE_60005,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.13.2; Database: clinical_treatment
TmpTCH:PRINCIPLE_60021,principle,塞因塞用,treating the stopped by stopping,用补益或固涩的方药或相关疗法，治疗因正虚所致闭塞不通病证的方法。,,,,TmpTCH:PRINCIPLE_60005,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.13.3; Database: clinical_treatment
TmpTCH:PRINCIPLE_60022,principle,通因通用,treating the unstopped by unstopping,用通利的方药或相关疗法，治疗因邪实所致呕吐、泻痢、崩漏等病证的方法。,,,,TmpTCH:PRINCIPLE_60005,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.13.4; Database: clinical_treatment
TmpTCH:PRINCIPLE_60006,principle,调理阴阳,regulating yin and yang,用药物或食物气味、性能的偏胜，或情志属性、针灸补泻等作用，以纠正阴阳的偏胜偏衰，使之恢复相对协调、平和状态的治疗原则。,,"调平阴阳,调整阴阳",,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.14; Database: clinical_treatment
TmpTCH:PRINCIPLE_60023,principle,从阴引阳,obtaining yang from yin,根据阴阳互根原理，在补阳时须适当配用补阴之品，以助阳气生化的方法。 注： 原为针刺之法，指针刺时采用左病治右、阳病刺阴经等方法，即病在阳而治其阴；后发展为内治法则。,,阴中求阳,,TmpTCH:PRINCIPLE_60006,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.14.1; Database: clinical_treatment
TmpTCH:PRINCIPLE_60024,principle,从阳引阴,obtaining yin from yang,根据阴阳互根原理，在补阴时适当配用补阳之品，以助阴气生成的方法。 注： 原为针刺之法，针刺时采用右病治左、阴病刺阳经等方法，即病在阴而治其阳；后发展为内治法则。,,阳中求阴,,TmpTCH:PRINCIPLE_60006,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.14.2; Database: clinical_treatment
TmpTCH:PRINCIPLE_60025,principle,虚者补其母,nourishing the mother-organ in dealing with deficiency syndrome/patterns,根据五行学说的母子相生关系，间接调补脏腑虚证的一种方法。 注： 如“土生金”，是指利用脾土与肺金的母子相生关系，以调补肺虚证。即通过补益脾胃，促使脾土充养肺金。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.15; Database: clinical_treatment
TmpTCH:PRINCIPLE_60026,principle,实者泻其子,purging the child-organ in dealing with excess syndrome/patterns,根据五行学说的母子相生关系，间接治疗脏腑实证的一种方法。 注： 如“火生土”是指利用心火与脾土的母子相生关系，必要时可以通过清泄脾土以平抑心火亢盛。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.16; Database: clinical_treatment
TmpTCH:PRINCIPLE_60027,principle,急则治标,treating the tip in acute disease,与缓则治本相对。在大出血或暴泻、剧痛、尿闭等标病、标症紧急的情况下，及时采用止血或止泻、止痛、利尿等救治标病、标症的方法，然后再治其本病的治疗原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.2; Database: clinical_treatment
TmpTCH:PRINCIPLE_60028,principle,缓则治本,treating the root in chronic disease,与急则治标相对。在病势相对缓和，或病情稳定的情况下，先治疗其本病，或采取以调理、补益等为主的治疗原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.3; Database: clinical_treatment
TmpTCH:PRINCIPLE_60029,principle,标本兼治,treating both the tip and root,在病症出现标本并重的情况下，采用治标与治本相兼或同时并用的治疗原则。,,标本同治,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.4; Database: clinical_treatment
TmpTCH:PRINCIPLE_60030,principle,因时制宜,treatment in accordance with seasons,在诊断和治疗时，兼顾时令、节气和气候等的不同，选择适宜的方法、药物等进行防治的原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.5; Database: clinical_treatment
TmpTCH:PRINCIPLE_60031,principle,因地制宜,treatment in accordance with local conditions,在诊断和治疗时，兼顾地域、自然环境及生活习俗等的不同，选择适宜的方法、药物等进行防治的原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.6; Database: clinical_treatment
TmpTCH:PRINCIPLE_60032,principle,因人制宜,treatment in accordance with individuality,在诊断和治疗时，兼顾病人性别、年龄、秉质、性情等个体差异，选择适宜的方法、药物等进行防治的原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.7; Database: clinical_treatment
TmpTCH:PRINCIPLE_60033,principle,扶正祛邪,reinforcing healthy qi and eliminating pathogenic factors,对于正气虚弱而病邪不能外达，或因虚致实等病证，采用扶助正气为主，辅之以祛邪的方法，以促使正胜邪退的治疗原则。,,扶正达邪,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.8; Database: clinical_treatment
TmpTCH:PRINCIPLE_60034,principle,扶正固本,reinforcing healthy qi and securing the root,对于正气亏虚等所致病证，采用培补正气以愈病的治疗原则。,,扶正培本,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.9; Database: clinical_treatment
